numphylotag	phylotag	Transmittance	MTT	MTTSd	DMT	DMTSign	MTO	MTOSd	FWLength	FWTotalArea	FWTranspArea	PropTransp	Wing	Genus	species	ssp	SpType	MicroTransparentZone	Nano	MicroOpaqueZone
72	Ithomia_amarilla	40.19497004	478.8999939	36.87865067	54.3999939	P	533.2999878		23.652	219.331	96.876	44.17	FW	Ithomia	amarilla		B	PE	nipples	LF
255	Pteronymia_artena	53.84676542	449.5400085	55.41604614	60.30999756	P	509.8500061	68.51864624	21.017	161.842	58.723	36.28	FW	Pteronymia	artena	afrania	B	PE	sponge	LE
284	Hypoleria_aureliana	49.63964796	570.539978	56.34765244	74.86004639	P	645.4000244	47.23473358	27.415	279.963	41.01	14.65	FW	Hypoleria	aureliana		B	PE	pillars	LF
32	Scada_reckia	15.89737236	423.6400146	41.95095825	86.59332275	P	510.2333374	138.7043304	23.827	191.418	86.332	45.1	FW	Scada	reckia	ethica	B	PE	absent	LE
271	Hyalenna_paradoxa	51.02687252	963.6500244	97.08576202	105.3499756	P	1069	108.5800476	32.809	346.403	230.55	66.56	FW	Hyalenna	paradoxa	praestigiosa	B	PE	pillars	LE
108	Hypothyris_cantobrica	2.087674144	401.8800049	34.76049423	109.1699829	P	511.0499878	92.84311676	24.922	209.908	43.476	20.71	FW	Hypothyris	cantobrica	schunkeae	B	LE	maze	LE
202	Episcada_mira	59.50498872	676.2800293	44.65172958	114.7699585	P	791.0499878	171.3319702	21.526	153.796	108.197	70.35	FW	Episcada	mira		B	PE	sponge	LF
282	Brevioleria_seba	52.9249267	558.6799927	20.29019547	122.7700195	P	681.4500122	148.1388702	21.689	171.958	61.706	35.88	FW	Brevioleria	seba		B	PE	pillars	LE
159	Oleria_athalina	35.67792747	437.1833191	78.14323425	170.8166809	P	608		28.163	268.468	102.931	38.34	FW	Oleria	athalina	banjana	B	PE	pillars	LF
183	Oleria_sexmaculata	36.69467834	274.480011	70.3766098	179.019989	P	453.5	268.2763062	21.082	164.024	28.516	17.39	FW	Oleria	sexmaculata	sexmaculata	B	PE	sponge	LF
333	Greta_morgane	41.85951349	546.9199829	184.9358521	206.9800415	P	753.9000244	3.535533905	28.153	250.531	99.135	39.57	FW	Greta	morgane	oto	B	PE	pillars	LF
47	Athesis_acrisione	22.53902141	940.5999756	185.0671844	225.0666504	P	1165.666626	29.28025436	46.838	696.617	261.436	37.53	FW	Athesis	acrisione	acrisione	B	LE	maze	LF
101	Napeogenes_sylphis	39.1312041	532.0200195	44.36797333	240.6799927	P	772.7000122		22.295	176.05	35.107	19.94	FW	Napeogenes	sylphis	corena	B	PE	nipples	LF
